,text,label
0,10대 여성  호흡정지 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
1,40대 여성  호흡정지 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
2,40대 남성  체표면적 25% 이상의 중증 화상 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
3,40대 여성  자신 혹은 타인을 해치려는 구체적인 계획인 있거나 충동을 억제할 수 없는 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
4,40대 남성  중증탈수 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
5,10대 여성  지금 발작 중 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
6,60대 이상 여성  체표면적 25% 이상의 중증 화상 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
7,30대 여성  호흡정지 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
8,40대 남성  사지의 외상성 절단 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
9,30대 여성  심정지(외상성) 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
10,30대 여성  심정지(비외상성) 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
11,30대 여성  중증탈수 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
12,50대 남성  조절되지 않는 행동 증상을 보여 외부적으로 상태가 심각해 보입니다.,1
13,30대 남성  도주의 가능성이나 안전에 대한 위험 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
14,50대 여성  개방성 골절 또는 신경혈관 장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
15,30대 여성  혈역학적 장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
16,"40대 여성  열,면역억제 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
17,10대 남성  급성 또는 갑작스런 시력장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
18,20대 남성  혈역학적 장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
19,"60대 이상 여성  열,면역억제 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
20,10대 남성  혈역학적 장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
21,"20대 남성  열,면역억제 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
22,30대 여성  중증 알러지 반응의 기왕력 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
23,10대 여성  패혈증 의증(3 SIRS 기준만족) 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
24,20대 여성  혈역학적 장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
25,20대 여성  패혈증 의증(3 SIRS 기준만족) 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
26,10대 남성  패혈증 의증(3 SIRS 기준만족) 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
27,20대 여성  급성/갑작스런 시력 장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
28,"30대 여성  열,면역억제 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
29,"60대 이상 남성  열,면역억제 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
30,60대 이상 남성  혈역학적 장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
31,"50대 남성  열,면역억제 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
32,20대 남성  목쉰소리와 언어장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
33,50대 여성  혈역학적 장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
34,40대 남성  혈역학적 장애 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
35,"10대 여성  열,면역억제 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
36,"40대 남성  열,면역억제 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
37,"30대 여성  입술, 혀, 입인두의 명백한 부종/부기 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
38,10대 여성  발작 후 상태 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
39,"20대 남성  자반성 또는 점발진, 아파보임 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
40,30대 여성  경부강직/ 수막자극증 ±열 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
41,60대 이상 남성  손가락의 외상성 절단 증상을 보여 외부적으로 상태가 심각해 보입니다.,2
42,"60대 이상 남성  관통손상이나 화학물질, 직접적인 고열에
의한 손상 증상을 보여 외부적으로 상태가 심각해 보입니다.",2
